id,ref,citeN30,citeN10,citeN5,ref_year
41654,40371,0,0,0,1916
27503,21877,16,12,10,1921
27563,27503,27,18,14,1923
28414,27548,9,8,6,1923
28414,27793,18,17,15,1925
28414,28384,6,6,5,1927
30543,28520,15,13,12,1928
29990,28672,8,7,4,1928
30410,28672,8,7,4,1928
30410,28706,18,11,9,1929
30543,28873,91,61,44,1929
29990,29249,5,5,5,1930
30410,29249,5,5,5,1930
30410,29396,16,10,7,1930
9244,29734,0,0,0,1931
30494,29763,30,18,11,1931
30494,30044,8,8,5,1931
30494,30096,3,3,2,1931
29990,30125,3,3,3,1931
30410,30125,3,3,3,1931
30410,29990,11,9,9,1931
40557,677058,22,11,4,1932
30410,30211,2,2,2,1932
10966,30494,32,6,4,1932
41654,30543,19,9,7,1932
41654,30743,20,5,4,1932
37925,31259,12,11,11,1934
3606,31535,5,4,3,1934
598495,31507,58,11,6,1934
41153,32050,5,4,4,1935
37765,32158,20,1,1,1935
39239,32158,20,1,1,1935
37765,32172,31,2,2,1935
39239,32172,31,2,2,1935
33996,32121,1,1,1,1935
3432,32221,27,10,10,1935
41153,32258,6,4,4,1935
38399,678323,225,113,97,1936
32973,678323,225,113,97,1936
33996,32399,68,32,30,1936
37766,32403,4,1,1,1936
41153,32412,42,30,25,1936
33996,32462,5,5,5,1936
41654,32632,38,19,17,1936
32973,32640,15,12,10,1936
33421,32681,28,18,16,1936
41153,32756,51,20,20,1936
41153,32765,88,37,36,1936
41153,33046,76,40,36,1937
39236,32839,23,5,3,1937
32973,33021,7,7,6,1937
41153,32812,103,30,27,1937
38635,32886,21,4,3,1937
33996,32907,21,16,15,1937
37028,32909,14,11,9,1937
33996,678797,303,115,70,1937
41654,32933,28,14,12,1937
33421,32968,42,14,11,1937
394,32968,42,14,11,1937
33996,33034,14,8,8,1937
33996,678792,282,123,94,1937
41153,678792,282,123,94,1937
37765,33240,43,6,3,1937
39239,33240,43,6,3,1937
37912,33240,43,6,3,1937
33996,33293,36,24,20,1937
40642,33153,71,4,3,1937
33996,33163,10,3,2,1937
41654,33198,7,4,4,1937
33996,33202,27,18,17,1937
33996,33278,19,14,14,1937
33996,33329,22,15,12,1937
33996,33073,16,7,7,1937
33996,33416,22,18,16,1938
36240,33421,29,11,8,1938
33996,33431,9,7,4,1938
37925,33433,26,12,8,1938
33996,33485,6,4,3,1938
33996,33496,16,10,6,1938
33996,33553,4,3,2,1938
33996,33352,13,12,9,1938
41654,33783,14,2,1,1938
33994,33830,2,2,2,1938
33996,33659,15,7,7,1938
33996,33703,26,15,13,1938
41153,33703,26,15,13,1938
33996,33715,3,3,3,1938
37028,33739,10,8,3,1938
41654,33775,9,5,4,1938
37028,33618,10,8,2,1938
33996,33852,13,12,10,1939
40111,34009,11,9,5,1939
41153,34107,5,2,0,1939
41654,34133,68,17,7,1939
37765,34139,5,5,0,1939
41153,33869,9,5,4,1939
37765,34392,22,17,4,1939
37766,34392,22,17,4,1939
40111,34319,156,49,19,1939
41153,34342,34,16,14,1939
41153,34343,50,19,14,1939
41654,34431,8,1,0,1939
37925,34575,41,16,3,1940
394,34597,54,10,4,1940
41654,34609,9,8,5,1940
39865,34649,66,43,8,1940
37925,34673,39,31,9,1940
37925,34839,26,18,5,1940
39236,34918,24,5,2,1940
41153,34950,6,4,3,1940
41153,35141,25,15,10,1941
41153,35051,18,16,4,1941
394,35059,25,9,4,1941
41153,35088,8,6,4,1941
41654,35233,24,18,4,1941
41654,35235,38,31,4,1941
39236,675563,67,36,6,1941
39239,675563,67,36,6,1941
37925,35477,35,34,7,1941
37925,35284,8,7,2,1941
41654,35324,3,3,0,1941
35339,35338,5,3,2,1941
39865,35456,74,36,1,1941
41153,35448,23,15,2,1941
38635,675575,6,2,0,1942
37925,35553,10,6,1,1942
41153,35711,15,6,0,1942
3432,675617,152,14,4,1943
4351,35883,40,23,11,1944
40642,36001,10,8,1,1944
38141,675650,63,22,12,1945
39239,675650,63,22,12,1945
4351,675660,6,1,0,1945
37912,36126,9,8,7,1945
2117,36398,6,5,5,1946
37766,36478,8,7,7,1946
41153,36526,15,7,3,1946
394,36806,21,21,19,1947
37520,36914,22,21,19,1947
37766,36914,22,21,19,1947
37925,36914,22,21,19,1947
38141,675702,14,6,5,1947
41153,675706,45,40,26,1947
37925,37028,54,37,33,1947
37520,37028,54,37,33,1947
37766,37028,54,37,33,1947
38141,37061,3,3,3,1947
39239,37066,81,43,36,1947
37766,37066,81,43,36,1947
37912,37066,81,43,36,1947
37520,37066,81,43,36,1947
37765,37066,81,43,36,1947
41153,675708,33,32,31,1947
37520,37261,14,14,11,1947
37766,37261,14,14,11,1947
37520,37263,9,6,5,1947
37766,37263,9,6,5,1947
37925,37280,17,16,12,1947
37520,37280,17,16,12,1947
37912,37280,17,16,12,1947
37925,36986,22,20,19,1947
37520,36986,22,20,19,1947
37766,36986,22,20,19,1947
394,36998,4,4,2,1947
41153,675736,30,28,20,1948
41153,675737,37,37,37,1948
41153,675740,84,67,53,1948
38635,675744,5,5,5,1948
38141,675755,9,7,7,1948
39865,37536,43,31,19,1948
37765,37440,11,11,11,1948
37912,37440,11,11,11,1948
39239,37440,11,11,11,1948
37912,37442,3,3,3,1948
37766,37516,7,7,7,1948
37925,37516,7,7,7,1948
37765,37519,15,15,14,1948
37766,37519,15,15,14,1948
37912,37519,15,15,14,1948
3606,37520,81,54,41,1948
37925,37520,81,54,41,1948
40642,37562,41,27,12,1948
37925,37566,17,15,12,1948
39236,675752,91,24,14,1948
40557,675752,91,24,14,1948
39239,675752,91,24,14,1948
3510,675752,91,24,14,1948
3606,37598,295,104,53,1948
37925,37602,48,43,31,1948
394,37291,16,8,5,1948
37766,37299,10,8,8,1948
38635,37357,6,6,6,1948
45111,37374,19,12,5,1948
38635,37398,8,8,7,1948
38635,37686,6,6,6,1948
3432,37899,12,4,2,1948
40557,37912,9,9,9,1948
38635,37976,1,1,1,1948
3039,38011,11,6,5,1948
41153,38037,21,21,16,1948
39236,38141,23,18,16,1948
37765,38141,23,18,16,1948
39239,38141,23,18,16,1948
39239,37765,33,27,23,1948
6070,37766,97,80,65,1948
39239,37766,97,80,65,1948
38635,37793,5,5,5,1948
41153,37808,32,32,30,1948
41153,37878,15,15,15,1948
41153,38500,93,86,64,1949
41153,38505,32,28,22,1949
38474,38526,8,8,8,1949
39239,38539,27,23,21,1949
6070,38554,132,96,82,1949
39236,38554,132,96,82,1949
40557,38554,132,96,82,1949
39239,38554,132,96,82,1949
39239,38599,92,67,63,1949
40642,38645,88,53,38,1949
39239,38234,31,29,27,1949
3606,38318,54,28,22,1949
39239,38372,22,21,19,1949
3606,38382,55,25,18,1949
40557,38389,125,64,50,1949
40642,38415,11,9,6,1949
41153,38424,15,15,12,1949
40111,38435,86,81,80,1949
38474,38435,86,81,80,1949
40111,38436,53,51,50,1949
38474,38436,53,51,50,1949
41153,38443,15,14,13,1949
40111,38474,126,109,81,1949
40557,675809,75,32,28,1949
40111,38824,21,20,17,1949
582450,39030,15,6,4,1949
41153,39136,15,10,9,1949
41654,39235,25,15,14,1949
40557,39236,105,69,57,1949
39239,39236,105,69,57,1949
40557,39239,132,65,42,1949
6070,39239,132,65,42,1949
40557,39240,113,71,51,1949
40642,38720,5,4,4,1949
41153,39310,5,5,5,1949
40111,39331,5,5,4,1949
41654,38772,17,16,13,1949
39865,38777,6,5,4,1949
3606,38779,31,28,23,1949
40111,38843,36,28,19,1949
39865,38868,29,20,16,1949
40642,38895,8,8,7,1949
41153,38913,18,18,17,1949
41654,38920,5,5,5,1949
40642,38926,54,33,20,1949
40642,38928,18,8,5,1949
41153,38976,33,27,21,1949
8400,38973,45,16,8,1949
394,39340,8,4,3,1950
40642,39450,21,13,10,1950
41153,39477,65,59,54,1950
3606,39491,83,58,46,1950
39865,39507,19,12,11,1950
41153,39583,31,27,23,1950
40111,39637,213,207,184,1950
41153,39857,12,11,11,1950
41153,39630,54,32,27,1950
40642,39643,36,27,21,1950
4351,39648,7,7,4,1950
6070,39655,41,16,13,1950
41153,39625,12,12,12,1950
40642,39691,21,21,20,1950
3039,39753,29,23,19,1950
3039,39765,30,24,20,1950
1741,39903,16,10,2,1950
40642,39904,16,10,6,1950
41654,39919,27,12,6,1950
3039,39998,26,24,22,1950
41153,40023,2,2,2,1950
41153,40241,41,39,34,1950
41654,40064,66,44,21,1950
41153,40071,20,18,11,1950
1741,40124,30,23,14,1950
41654,40182,34,23,17,1950
3039,40240,70,49,39,1950
41153,40269,8,8,8,1950
41153,675850,83,83,80,1950
41654,40558,3,2,2,1950
3039,40616,39,36,27,1950
2117,40619,163,49,26,1950
43773,40813,48,41,31,1951
41153,40828,12,12,12,1951
41654,40964,8,8,6,1951
41654,40971,16,12,8,1951
41654,40978,48,41,30,1951
1952,40984,76,67,53,1951
3039,41055,12,12,10,1951
394,675880,9,6,5,1951
41153,41154,12,12,11,1951
3039,675871,15,13,9,1951
3651,41744,15,12,10,1951
43773,41878,202,182,170,1951
3510,41937,80,25,15,1951
10966,42104,32,16,16,1951
6070,41963,204,66,48,1951
3510,41965,19,18,6,1951
4351,42350,8,7,5,1952
394,42745,69,20,11,1952
176568,42907,107,15,7,1952
44296,675888,129,118,102,1952
44296,43089,18,17,17,1952
3606,43436,38,33,19,1952
44296,43773,31,26,24,1953
45111,44228,3,3,2,1953
45111,44230,4,4,4,1953
44296,44263,105,100,97,1953
10966,44681,14,5,2,1953
3432,44413,96,54,20,1953
4351,44487,15,12,7,1953
646483,44774,31,17,13,1953
4351,45478,28,16,10,1954
1741,45282,51,50,50,1954
6070,45862,7,2,1,1954
176567,46052,219,18,9,1954
588342,46052,219,18,9,1954
3606,46103,21,17,11,1954
578858,46590,263,32,7,1954
2037,46677,11,10,8,1954
4351,47013,70,34,17,1955
3510,47140,30,29,28,1955
3039,46960,10,9,9,1955
581483,47145,3,1,0,1955
2037,47400,19,11,7,1955
617610,47483,43,32,23,1955
7622,47239,24,9,1,1955
2037,47849,4,3,1,1955
3039,47583,79,61,21,1955
3651,47601,10,6,3,1955
4556,47607,30,26,17,1955
3039,352,14,11,10,1955
3039,354,6,4,4,1955
1741,450,10,9,9,1955
3606,115,30,6,4,1955
3039,155,13,13,13,1955
1741,229,53,43,16,1955
8400,734,144,79,33,1956
617610,745,11,11,11,1956
1741,747,27,24,22,1956
1741,751,19,18,16,1956
1741,521,9,8,8,1956
3039,575,2,2,2,1956
578858,613,103,21,4,1956
23955,680,25,13,6,1956
1741,1037,25,25,25,1956
23955,1091,12,6,4,1956
3039,1123,41,39,27,1956
3039,1124,38,34,26,1956
23955,987,68,46,29,1956
1741,1000,9,9,9,1956
3606,676063,69,45,35,1956
617610,1440,34,21,17,1956
2037,1473,66,34,17,1956
2117,1225,16,9,3,1956
2037,1225,16,9,3,1956
3432,1823,32,18,12,1956
3039,1882,20,17,17,1956
6070,1890,16,11,9,1956
3039,1591,54,25,11,1956
3510,2285,40,36,28,1957
3432,2006,64,29,15,1957
2117,2037,47,33,21,1957
3606,2037,47,33,21,1957
3510,2070,122,107,93,1957
3606,2117,25,16,8,1957
6070,2398,97,33,22,1957
3039,2398,97,33,22,1957
7622,2398,97,33,22,1957
593596,2398,97,33,22,1957
6070,2418,45,36,23,1957
3039,2418,45,36,23,1957
3510,2441,21,8,4,1957
3651,2460,10,9,9,1957
23955,2308,22,17,13,1957
4351,2566,11,11,9,1957
8400,2362,98,93,87,1957
617610,2381,54,37,28,1957
3606,2829,53,36,28,1957
3039,2839,5,5,4,1957
3510,2907,32,32,31,1957
3039,2959,14,14,13,1957
3510,2780,7,7,7,1957
3432,3245,123,52,27,1957
4351,3299,9,9,9,1957
646483,3310,18,14,10,1957
4351,3012,14,12,10,1957
599510,3039,993,508,203,1957
7442,3039,993,508,203,1957
6070,3039,993,508,203,1957
599615,3039,993,508,203,1957
4351,3085,78,39,27,1957
3510,3108,7,7,7,1957
4351,676158,26,22,15,1958
4351,676201,12,12,8,1958
581483,3510,505,328,202,1958
646483,3510,505,328,202,1958
8400,3510,505,328,202,1958
646483,3380,33,16,6,1958
617610,3912,45,40,34,1958
6070,4024,42,25,13,1958
6070,4047,29,17,14,1958
7622,4047,29,17,14,1958
593596,3806,127,64,29,1958
593596,3823,9,9,7,1958
8400,3882,27,19,9,1958
593596,3882,27,19,9,1958
646483,3886,41,27,27,1958
6070,4345,3,3,3,1958
15070,4292,127,51,18,1958
582006,4351,94,66,34,1958
6070,4363,11,11,10,1958
582006,536344,20,12,8,1958
582006,4144,73,26,14,1958
6070,4191,13,12,10,1958
7442,676181,20,19,16,1958
617610,4676,75,59,43,1958
8400,4459,139,48,13,1958
582006,536469,4,4,3,1958
6070,536492,3,3,3,1958
15070,536486,22,19,10,1958
6070,4550,123,68,33,1958
582006,4925,11,9,7,1959
6070,582040,3,3,3,1959
646483,581958,11,11,11,1959
6070,582151,3,3,3,1959
582006,582007,12,8,6,1959
6070,582066,18,18,16,1959
7622,5029,19,15,9,1959
593596,5146,3,3,3,1959
593596,5147,5,5,5,1959
593596,676350,4,4,4,1959
7622,5543,21,19,14,1959
8400,588075,145,85,6,1959
593596,6070,125,73,43,1960
7622,6070,125,73,43,1960
617610,593507,42,39,35,1960
646483,593565,12,8,8,1960
646483,593566,75,49,39,1960
8400,593596,233,158,33,1960
7622,593596,233,158,33,1960
578858,593596,233,158,33,1960
584452,6221,13,5,1,1960
646483,6484,21,20,12,1960
617610,599523,3,3,3,1960
7442,599510,58,39,26,1960
599615,599510,58,39,26,1960
617610,599518,30,30,28,1960
646483,6590,11,8,6,1960
617610,599549,56,52,46,1960
23955,7121,29,26,19,1960
7442,599614,25,24,22,1960
7442,599615,29,13,11,1960
617610,599659,22,22,22,1960
15070,607733,7,6,6,1961
7442,607914,131,58,36,1961
15070,7370,36,30,9,1961
15070,7390,22,18,12,1961
617610,607787,4,4,4,1961
617610,7253,13,13,12,1961
8400,607810,42,42,40,1961
588342,7622,384,76,46,1961
588343,7622,384,76,46,1961
578858,7622,384,76,46,1961
617610,607837,45,45,44,1961
8400,607838,31,31,31,1961
617610,607838,31,31,31,1961
578781,607908,10,9,9,1961
617610,607937,45,44,43,1961
617610,607939,88,84,82,1961
23955,607941,24,18,6,1961
582450,7578,61,51,32,1961
617610,617681,47,46,42,1961
23955,617697,1,1,0,1961
617610,617749,3,3,3,1961
8400,7739,22,17,11,1961
646483,617576,35,29,15,1961
9787,617583,51,36,31,1961
9244,617583,51,36,31,1961
8400,617610,73,71,68,1961
646483,617620,7,6,6,1961
15070,7880,76,15,10,1961
587475,7880,76,15,10,1961
9244,617629,50,28,25,1961
8400,8377,176,125,57,1961
646483,617716,33,28,13,1961
9244,8175,64,29,7,1961
646483,617727,12,12,10,1961
578858,8633,72,21,17,1962
9244,8719,28,27,23,1962
9787,630643,12,12,12,1962
9244,630643,12,12,12,1962
9787,630648,40,35,29,1962
9244,630648,40,35,29,1962
9787,630658,54,40,31,1962
9244,630658,54,40,31,1962
646483,630721,16,13,12,1962
9244,8651,31,27,20,1962
646483,630619,10,10,10,1962
646483,630620,9,9,9,1962
9244,630637,11,11,11,1962
15070,8470,17,14,10,1962
15070,676546,11,11,6,1962
646483,630696,14,9,8,1962
9787,630750,34,21,17,1962
587475,8904,20,8,2,1962
578948,9429,175,70,36,1962
581483,9429,175,70,36,1962
578858,9429,175,70,36,1962
15070,9158,23,18,13,1962
9787,9244,201,111,63,1962
23955,9562,25,24,16,1962
23955,646552,53,38,25,1962
10539,536776,100,49,32,1963
10966,536776,100,49,32,1963
23955,676613,119,92,67,1963
10966,536636,5,5,3,1963
10966,536637,178,73,49,1963
578948,10585,27,13,5,1963
582450,10329,67,47,33,1963
23955,10329,67,47,33,1963
582450,10464,14,12,11,1963
10966,10539,270,81,55,1963
578948,555565,18,17,14,1963
15070,10771,112,22,8,1963
587475,10771,112,22,8,1963
578858,10897,29,27,20,1963
627548,10966,588,173,99,1963
578781,11293,12,9,9,1963
15070,676735,27,21,15,1964
15070,676738,9,8,7,1964
585178,11627,95,15,10,1964
23955,11809,8,6,5,1964
23955,11928,67,62,52,1964
578781,11787,35,35,32,1964
23955,570133,10,8,8,1964
582246,570136,19,13,13,1964
582246,570137,28,19,12,1964
578948,12330,202,159,107,1964
23955,12356,28,27,20,1964
578948,578908,1,1,1,1964
582246,12725,25,21,14,1964
23955,12847,19,17,15,1964
578948,578858,111,50,8,1964
581483,578858,111,50,8,1964
23955,578877,57,45,37,1964
23955,578879,20,16,14,1964
23955,578763,57,45,37,1964
23955,13189,21,12,10,1964
581483,578948,104,48,4,1964
581483,578983,103,54,10,1964
15070,579141,7,7,7,1965
585178,13618,33,11,9,1965
582450,13851,135,125,82,1965
176568,13461,10,9,8,1965
15070,579313,7,5,2,1965
23955,14814,54,44,39,1965
23955,579630,46,26,19,1965
23955,579638,80,77,72,1965
23955,14690,7,7,7,1965
176568,15399,17,7,1,1965
23955,15698,55,51,48,1966
23955,15529,18,16,16,1966
23955,15530,24,16,16,1966
23955,15554,20,11,9,1966
23955,15555,8,6,5,1966
23955,15566,20,15,7,1966
23955,15720,29,10,6,1966
23955,15883,121,76,58,1966
582450,15883,121,76,58,1966
584452,580163,21,19,17,1966
23955,580236,12,6,5,1966
581483,16300,151,99,14,1966
582246,580657,17,12,7,1966
23955,580661,5,5,5,1966
23955,16850,17,6,5,1966
582450,580740,19,17,17,1966
23955,580740,19,17,17,1966
582450,580499,28,28,24,1966
23955,17699,3,3,3,1966
23955,17726,14,8,4,1966
581483,581031,177,84,73,1967
582450,18187,15,15,13,1967
23955,581147,27,11,8,1967
581483,18403,122,89,16,1967
581483,581165,362,290,225,1967
176568,676984,316,232,140,1967
176567,676984,316,232,140,1967
584451,18634,36,32,28,1967
582450,18851,210,166,120,1967
582450,18854,26,24,17,1967
23955,18854,26,24,17,1967
582450,580915,16,15,13,1967
582450,580916,20,20,20,1967
582450,580917,23,21,17,1967
584452,580982,52,18,11,1967
23955,677015,25,21,17,1967
581483,581540,78,78,64,1967
582450,581436,13,13,10,1967
589808,581483,1295,410,42,1967
588342,581483,1295,410,42,1967
584451,20293,13,11,9,1967
587340,20669,80,65,43,1967
582450,582446,40,40,36,1968
584451,582454,72,69,62,1968
584452,21262,32,28,24,1968
584451,21262,32,28,24,1968
582246,582247,14,7,6,1968
587340,22300,9,9,9,1968
584452,583130,39,33,24,1968
176567,23767,90,72,33,1968
584451,677127,165,62,34,1969
584452,24034,22,19,16,1969
584452,583593,161,130,93,1969
584452,583731,87,84,78,1969
584452,24556,308,276,240,1969
584452,583824,91,87,80,1969
584452,583925,50,48,44,1969
584452,583926,54,52,48,1969
584452,583927,57,48,41,1969
584452,583435,62,61,56,1969
584452,583568,14,14,13,1969
587958,584415,29,23,16,1969
587958,584416,29,22,18,1969
587340,584416,29,22,18,1969
584452,584451,118,106,93,1969
584451,584452,100,87,80,1969
587340,583946,7,7,7,1969
585178,27095,42,36,29,1969
176567,584883,28,23,20,1970
176567,584958,4,4,4,1970
585178,55177,40,18,8,1970
589808,585330,245,150,56,1970
588342,386788,216,169,114,1970
589808,585170,54,47,36,1970
589808,586076,23,23,22,1971
176567,391381,84,57,47,1971
588342,391381,84,57,47,1971
587340,677176,50,27,21,1971
590924,396913,196,69,29,1971
176568,176567,243,131,105,1971
176567,176568,211,110,90,1971
589808,586420,231,204,153,1971
589808,403116,203,172,101,1972
587475,587340,56,36,35,1972
587958,587340,56,36,35,1972
588342,403197,49,45,36,1972
588342,586969,115,100,89,1972
588343,403354,69,58,49,1972
588343,403362,148,125,101,1972
588342,403362,148,125,101,1972
587475,587940,5,5,5,1972
587475,587958,58,49,47,1972
590924,422905,85,77,67,1973
588342,422558,607,218,117,1973
588343,422558,607,218,117,1973
588343,588342,488,348,223,1973
588342,588343,507,365,232,1973
590924,588892,9,9,8,1973
588343,435744,41,29,25,1973
590924,677222,51,38,23,1973
589808,589808,350,333,299,1974
589827,589808,350,333,299,1974
589827,589809,321,308,275,1974
589827,589810,151,150,144,1974
590924,590452,54,54,50,1975
590924,677262,265,246,233,1975
632541,385470,747,80,8,1978
609070,594560,80,36,14,1978
598495,150512,54,13,8,1978
625280,386348,88,30,10,1979
598495,595316,253,86,62,1979
599734,386527,29,20,14,1979
598495,151211,89,38,26,1979
597044,595026,32,31,23,1979
609070,55355,133,27,7,1979
625280,55355,133,27,7,1979
609662,55355,133,27,7,1979
598495,152803,6,6,5,1980
598495,596379,36,25,19,1980
598495,596066,96,57,44,1980
609662,55701,139,36,11,1980
609070,55701,139,36,11,1980
625280,596124,260,46,8,1980
625283,596124,260,46,8,1980
598495,597044,597,211,85,1980
609070,55896,46,24,7,1980
609662,55896,46,24,7,1980
599734,596690,287,36,18,1980
599812,597523,38,21,13,1981
599812,597639,67,41,36,1981
598495,597639,67,41,36,1981
599734,677447,88,38,22,1981
599812,154751,364,141,82,1981
598495,154751,364,141,82,1981
598495,155147,30,21,16,1981
598495,155950,39,23,21,1982
624849,598844,37,18,12,1982
599734,156425,181,21,6,1982
598495,156510,47,31,29,1982
599812,598495,773,227,117,1982
599734,157423,47,25,10,1982
599734,158441,97,55,29,1983
599812,158045,100,48,13,1983
599812,158257,86,52,31,1983
609070,600412,76,18,15,1983
627548,600445,87,34,18,1983
625283,600445,87,34,18,1983
627548,60434,123,48,23,1985
605482,163072,12,12,9,1985
609070,603999,103,53,35,1985
644712,603465,35,17,11,1985
609325,604693,55,29,14,1986
605482,165370,47,34,23,1986
609325,604731,57,28,17,1986
605482,604731,57,28,17,1986
625280,677577,158,67,23,1986
627548,605122,294,110,30,1986
609325,605482,454,146,28,1986
625283,606626,367,237,116,1987
624629,63207,130,50,3,1987
609070,63928,39,12,10,1987
609325,169395,34,28,11,1987
609325,171776,23,17,12,1988
624849,172004,12,11,4,1988
609325,172103,17,6,4,1988
609662,609070,134,77,42,1988
624629,609698,83,59,18,1988
624849,610430,218,91,33,1989
632541,396514,65,38,13,1989
625283,611980,180,86,34,1990
627548,69029,54,41,22,1990
623194,612424,263,116,40,1990
625280,69211,75,34,11,1990
641924,612510,99,93,76,1990
623194,181744,42,31,20,1990
632541,613888,140,117,49,1991
623194,182929,5,5,4,1991
624629,615294,72,57,52,1991
641924,399369,86,78,51,1991
623194,185887,19,18,16,1991
623194,615204,53,49,35,1991
625283,615451,281,97,68,1992
641924,399832,6,6,3,1992
625283,72421,42,18,6,1992
627548,72428,231,141,92,1992
624849,72601,92,34,19,1992
627548,72810,65,46,35,1992
632541,400555,177,137,54,1992
624849,74061,19,15,11,1992
625280,74065,298,61,23,1992
625280,618772,100,59,38,1993
625280,618830,85,65,43,1993
623194,618307,165,87,34,1993
624629,618965,70,47,25,1993
625280,74940,8,8,7,1993
632541,401808,11,9,4,1993
627548,75155,42,21,13,1993
625280,75427,46,37,29,1994
625280,76046,35,22,19,1994
625283,620841,91,53,34,1994
627548,620841,91,53,34,1994
624849,620841,91,53,34,1994
623194,620853,82,66,39,1994
625280,77022,345,94,33,1994
623194,622181,186,157,89,1994
627548,621348,48,24,14,1994
625280,77081,14,9,9,1994
624849,77730,163,98,56,1995
624849,77128,189,116,47,1995
625280,622706,17,11,7,1995
625280,77406,33,23,18,1995
624849,77406,33,23,18,1995
624629,622990,158,87,54,1995
624629,623058,61,43,30,1995
624849,623205,220,139,64,1995
625283,623205,220,139,64,1995
624849,623206,115,75,41,1995
625283,623206,115,75,41,1995
624849,623207,873,455,197,1995
625280,623207,873,455,197,1995
641924,404818,81,49,30,1995
625280,77648,47,41,34,1995
624629,623540,72,45,38,1995
625280,78315,16,12,11,1995
625280,78347,14,10,10,1995
624629,623907,1074,762,467,1995
632541,405425,75,59,36,1995
624849,78103,524,230,84,1995
625283,78114,60,44,19,1995
625280,78210,94,69,46,1995
627548,624574,70,36,17,1995
625280,624640,216,94,63,1995
624849,624640,216,94,63,1995
625280,624849,393,257,131,1995
638092,625281,23,21,17,1996
632541,405785,84,66,40,1996
627548,78482,90,70,49,1996
627548,625283,264,114,75,1996
632541,406523,878,846,791,1996
641924,626593,213,178,125,1996
632541,627013,244,182,133,1996
632541,352096,89,70,57,1996
632541,406986,24,24,20,1996
632541,409071,28,21,17,1998
641924,353565,13,10,9,1998
641924,410734,18,17,15,1998
638092,634616,27,21,17,1999
638092,634716,79,53,35,1999
641924,412359,124,62,43,1999
641924,355058,153,139,107,1999
644712,639055,38,31,22,2000
641924,639055,38,31,22,2000
641924,356241,49,27,19,2001
644712,356241,49,27,19,2001
644712,356226,46,35,30,2001
641924,356226,46,35,30,2001
641924,415911,14,14,13,2001
641924,415912,14,14,12,2001
644712,641355,241,216,182,2001
641924,641355,241,216,182,2001
644712,641924,465,382,310,2001
644712,357257,22,16,13,2002
